GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|SECTOR|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|ADMIN_PCT|ADMIN_PCT_F|IMPUT_PCT|IMPUT_PCT_F
01|00|0100000US|United States||48|48-49|Transportation and warehousing|104|2012|213805||732974706||183874776||45277746||4316392||10.8||8.3|
01|00|0100000US|United States||48|481|Air transportation||2012|4990||181180854||26222347||6902942||446215||1.6||5.4|
01|00|0100000US|United States||48|4811|Scheduled air transportation||2012|2651||167058863||23584243||6284066||410417||.7||5.2|
01|00|0100000US|United States||48|48111|Scheduled air transportation||2012|2651||167058863||23584243||6284066||410417||.7||5.2|
01|00|0100000US|United States||48|481111|Scheduled passenger air transportation||2012|2257||159505630||22814592||6076994||399445||.4||5.2|
01|00|0100000US|United States||48|481112|Scheduled freight air transportation||2012|394||7553233||769651||207072||10972||7.8||5.3|
01|00|0100000US|United States||48|4812|Nonscheduled air transportation||2012|2339||14121991||2638104||618876||35798||12.0||7.6|
01|00|0100000US|United States||48|48121|Nonscheduled air transportation||2012|2339||14121991||2638104||618876||35798||12.0||7.6|
01|00|0100000US|United States||48|481211|Nonscheduled chartered passenger air transportation||2012|1615||11422837||2085699||507628||28085||9.4||8.6|
01|00|0100000US|United States||48|481212|Nonscheduled chartered freight air transportation||2012|157||838130||160144||32205||2306||15.7||3.8|
01|00|0100000US|United States||48|481219|Other nonscheduled air transportation||2012|567||1861024||392261||79043||5407||26.1||3.5|
01|00|0100000US|United States||48|483|Water transportation||2012|1467||39528225||4680653||1205378||65549||2.7||10.2|
01|00|0100000US|United States||48|4831|Deep sea, coastal, and great lakes water transportation||2012|926||31798560||3312243||866313||45076||2.2||7.5|
01|00|0100000US|United States||48|48311|Deep sea, coastal, and great lakes water transportation||2012|926||31798560||3312243||866313||45076||2.2||7.5|
